id,name,released,metacritic,rating,ratings_count,reviews_count,playtime_hours,genres,platforms,esrb_rating,slug,release_year,decade,genre_primary,genre_count,rating_10,composite_score,popularity_log,platform_primary
32577,Tony Hawk's Pro Skater 3,2001-10-28,94,4.32,150,152,5,"Sports, Arcade","PC, Game Boy Advance, PlayStation, Game Boy Color, Classic Macintosh, Xbox, Nintendo 64, GameCube, PlayStation 2",Not Rated,tony-hawks-pro-skater-3,2001,2000s,Sports,2,8.64,91.0,5.017,PC
52799,Chrono Cross,1999-11-18,94,4.39,147,149,42,RPG,PlayStation,Teen,chrono-cross-2011,1999,1990s,RPG,1,8.78,91.5,4.997,PlayStation
29413,Grim Fandango,1998-10-14,94,4.36,145,145,1,Adventure,PC,Not Rated,grim-fandango,1998,1990s,Adventure,1,8.72,91.3,4.984,PC
52815,Command & Conquer,1995-08-31,94,4.31,138,138,0,Strategy,"PC, PlayStation, Classic Macintosh, SEGA Saturn",Not Rated,command-conquer-old,1995,1990s,Strategy,1,8.62,90.9,4.934,PC
42180,The Elder Scrolls V: Skyrim Legendary Edition,2013-06-04,94,4.59,138,139,0,"Adventure, RPG","PC, PlayStation 3, Xbox 360",Mature,the-elder-scrolls-v-skyrim-legendary-edition,2013,2010s,Adventure,2,9.18,93.1,4.934,PC
40841,Resident Evil Code: Veronica,2000-02-03,94,4.21,118,120,0,"Action, Adventure","Xbox 360, PlayStation 3, PlayStation 4, GameCube, PlayStation 2, Dreamcast",Mature,resident-evil-code-veronica,2000,2000s,Action,2,8.42,90.1,4.779,Xbox 360
32060,Sid Meier's Civilization 2,1996-02-29,94,4.21,47,47,0,Strategy,PC,Everyone,sid-meiers-civilization-2,1996,1990s,Strategy,1,8.42,90.1,3.871,PC
494369,Metal Gear Solid 3: Subsistence,2005-12-22,94,4.34,44,44,0,Shooter,"PlayStation 3, PS Vita, PlayStation 2",Mature,metal-gear-solid-3-subsistence,2005,2000s,Shooter / FPS,1,8.68,91.1,3.807,PlayStation 3
27714,Super Mario Advance 4: Super Mario Bros. 3,2003-07-11,94,3.94,16,17,0,Platformer,Game Boy Advance,Everyone,super-mario-advance-4-super-mario-bros-3,2003,2000s,Platformer,1,7.88,87.9,2.833,Game Boy Advance
4835,N.O.V.A.,2009-12-17,94,4.33,12,12,0,"Action, Shooter","Android, PlayStation 3, iOS, PSP",Teen,nova,2009,2000s,Action,2,8.66,91.0,2.565,Android
416,Grand Theft Auto: San Andreas,2004-10-26,93,4.5,4049,4078,2,Action,"macOS, PC, iOS, Xbox, Android, PlayStation 4, PlayStation 3, PlayStation 2, Xbox 360, Xbox One",Mature,grand-theft-auto-san-andreas,2004,2000s,Action,1,9.0,91.8,8.306,macOS
2462,Uncharted 4: A Thief’s End,2016-05-10,93,4.48,3728,3766,0,"Action, Shooter","PlayStation 5, PlayStation 4",Teen,uncharted-4-a-thiefs-end,2016,2010s,Action,2,8.96,91.6,8.224,PlayStation 5
274755,Hades,2020-09-17,93,4.42,2079,2121,10,"Action, Adventure, RPG, Indie","PlayStation 5, Xbox Series S/X, PlayStation 4, Nintendo Switch, PC, Xbox One",Teen,hades-2018,2020,2020s,Action,4,8.84,91.2,7.64,PlayStation 5
51325,The Last of Us Part II,2020-06-19,93,4.42,1989,2084,0,"Action, Shooter, Adventure","PlayStation 4, PlayStation 5",Mature,the-last-of-us-part-2,2020,2020s,Action,3,8.84,91.2,7.596,PlayStation 4
432,Grand Theft Auto III,2001-10-22,93,4.15,1642,1659,1,"Action, Shooter","macOS, PC, iOS, Android, PlayStation 4, PlayStation 2, Xbox",Mature,grand-theft-auto-iii,2001,2000s,Action,2,8.3,89.0,7.404,macOS
49,Persona 5,2016-09-15,93,4.34,1440,1463,105,"Action, Adventure, RPG","PlayStation 3, PlayStation 4",Mature,persona-5,2016,2010s,Action,3,8.68,90.5,7.273,PlayStation 3
58829,Super Smash Bros. Ultimate,2018-12-07,93,4.37,1082,1106,0,Fighting,Nintendo Switch,Not Rated,super-smash-bros-ultimate,2018,2010s,Fighting,1,8.74,90.8,6.987,Nintendo Switch
39707,God of War II,2007-03-13,93,4.4,962,979,17,Action,"PlayStation 2, PS Vita, PlayStation 3",Mature,god-of-war-ii,2007,2000s,Action,1,8.8,91.0,6.87,PlayStation 2
22510,StarCraft II,2010-07-27,93,4.38,811,816,0,Strategy,"PC, macOS",Teen,starcraft-2,2010,2010s,Strategy,1,8.76,90.8,6.7,PC
