id,name,released,metacritic,rating,ratings_count,reviews_count,playtime_hours,genres,platforms,esrb_rating,background_image,slug
339958,Persona 5 Royal,2020-03-31,94,4.75,527,540,12,"Adventure, RPG","Xbox Series S/X, PC, PlayStation 5, Nintendo Switch, Xbox One, PlayStation 4",Mature,https://media.rawg.io/media/games/a9c/a9c789951de65da545d51f664b4f2ce0.jpg,persona-5-royal
59199,Divinity: Original Sin 2 - Definitive Edition,2018-08-31,94,4.51,591,599,10,RPG,"PlayStation 4, Nintendo Switch, macOS, PC, iOS, Xbox One",Mature,https://media.rawg.io/media/games/cd2/cd2a1a360839002bceadc5a8b3c7dbf7.jpg,divinity-original-sin-ii-definitive-edition
58175,God of War (2018),2018-04-20,94,4.54,5139,5248,15,Action,"PC, PlayStation 4",Mature,https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg,god-of-war-2
57607,Metal Gear Solid,1998-09-03,94,4.4,1153,1166,1,Action,"PC, Game Boy Color, PlayStation, PlayStation 3",Mature,https://media.rawg.io/media/games/bbc/bbce6f1659d35ffc16aed8b66e9990a1.jpg,metal-gear-solid-1
54528,Super Mario 64,1996-06-23,94,4.39,757,767,12,Platformer,Nintendo 64,Everyone,https://media.rawg.io/media/games/1d5/1d565b99cad46c44b534d9803e27bd49.jpg,super-mario-64-1996
54491,Quake,1996-06-22,94,4.25,486,491,1,"Action, Shooter","Xbox One, macOS, Linux, Classic Macintosh, Xbox, Nintendo Switch, PlayStation 4, Nintendo 64, SEGA Saturn, Commodore / Amiga, PC, Xbox Series S/X, PlayStation 5",,https://media.rawg.io/media/games/3a8/3a82d7f5c90ab082fe475e28d58bee8b.jpg,quake
53341,Jet Set Radio,2000-06-29,94,3.41,508,512,1,"Action, Sports, Platformer","iOS, Xbox 360, Android, Game Boy Advance, Dreamcast, PlayStation 3, PS Vita, PC",Teen,https://media.rawg.io/media/games/fd7/fd794a9f0ffe816038d981b3acc3eec9.jpg,jet-set-radio-2012
52815,Command & Conquer,1995-08-31,94,4.31,138,138,0,Strategy,"PC, PlayStation, Classic Macintosh, SEGA Saturn",,https://media.rawg.io/media/games/c62/c62e21b805e3f4c13e99702d2eca6a65.jpg,command-conquer-old
52799,Chrono Cross,1999-11-18,94,4.39,147,149,42,RPG,PlayStation,Teen,https://media.rawg.io/media/games/2ad/2ad33347237cdc941ba5312787dbe3f8.jpg,chrono-cross-2011
42180,The Elder Scrolls V: Skyrim Legendary Edition,2013-06-04,94,4.59,138,139,0,"Adventure, RPG","PC, PlayStation 3, Xbox 360",Mature,https://media.rawg.io/media/games/6db/6db2d022f77b1c99116bbf6750ec2c7d.jpg,the-elder-scrolls-v-skyrim-legendary-edition
40841,Resident Evil Code: Veronica,2000-02-03,94,4.21,118,120,0,"Action, Adventure","Xbox 360, PlayStation 3, PlayStation 4, GameCube, PlayStation 2, Dreamcast",Mature,https://media.rawg.io/media/games/0a5/0a512dd1d273d1a7aba705944264ac44.jpg,resident-evil-code-veronica
32577,Tony Hawk's Pro Skater 3,2001-10-28,94,4.32,150,152,5,"Sports, Arcade","PC, Game Boy Advance, PlayStation, Game Boy Color, Classic Macintosh, Xbox, Nintendo 64, GameCube, PlayStation 2",,https://media.rawg.io/media/screenshots/a2b/a2baa14bf592e3973650faacbf60fe74.jpg,tony-hawks-pro-skater-3
32060,Sid Meier's Civilization 2,1996-02-29,94,4.21,47,47,0,Strategy,PC,Everyone,https://media.rawg.io/media/screenshots/1d0/1d05c811684f86d9b382814109385073.jpg,sid-meiers-civilization-2
29593,Diablo,1996-12-31,94,4.39,536,541,1,"Action, RPG","PC, macOS, PlayStation",,https://media.rawg.io/media/games/923/923a5dd13b6e79dd23ab2d09934f0e8d.jpg,diablo
29413,Grim Fandango,1998-10-14,94,4.36,145,145,1,Adventure,PC,,https://media.rawg.io/media/screenshots/a07/a07491535ca7c6e175c9c22299c786d6.jpg,grim-fandango
29179,God of War I,2005-03-22,94,4.36,718,733,11,Action,"PS Vita, PlayStation 2, PlayStation 3",Mature,https://media.rawg.io/media/games/1aa/1aa4ca34a8a6bb57a2e065c8332dc230.jpg,god-of-war
28623,Batman: Arkham City,2011-10-18,94,4.41,2168,2192,20,Action,"PC, PlayStation 3, Nintendo Switch, macOS, PlayStation 4, Xbox One, Xbox 360",Teen,https://media.rawg.io/media/games/b5a/b5a1226bfd971284a735a4a0969086b3.jpg,batman-arkham-city-2
28581,The Orange Box,2008-01-01,94,4.54,328,328,6,Shooter,"Linux, macOS, Xbox 360, PC, PlayStation 3",Teen,https://media.rawg.io/media/games/55a/55a685051caa3d478836fa7c1d074694.jpg,the-orange-box
28224,Burnout 3: Takedown,2004-09-07,94,4.4,159,161,23,"Racing, Arcade","Xbox, PlayStation 2, Xbox 360",Teen,https://media.rawg.io/media/games/364/3642f0c38a105c8750c4b48097effc15.jpg,burnout-3-takedown
27969,The Legend of Zelda: Ocarina of Time 3D,2011-06-19,94,4.55,360,368,13,"Adventure, RPG, Puzzle",Nintendo 3DS,Everyone 10+,https://media.rawg.io/media/games/c91/c916af1fa182bc2d674b4d9270bb7713.jpg,the-legend-of-zelda-ocarina-of-time-3d
